.1000        -1.000        0.37546E-05     0.0000    
.1000       -0.9500        0.36743E-05   -0.35895E-01
.1000       -0.9000        0.35959E-05   -0.50957E-01
.1000       -0.8500        0.35195E-05   -0.62618E-01
.1000       -0.8000        0.34450E-05   -0.72512E-01
.1000       -0.7500        0.33726E-05   -0.81259E-01
.1000       -0.7000        0.33021E-05   -0.89172E-01
.1000       -0.6500        0.32336E-05   -0.96427E-01
.1000       -0.6000        0.31671E-05   -0.10313    
.1000       -0.5500        0.31026E-05   -0.10937    
.1000       -0.5000        0.30400E-05   -0.11517    
.1000       -0.4500        0.29794E-05   -0.12057    
.1000       -0.4000        0.29208E-05   -0.12559    
.1000       -0.3500        0.28642E-05   -0.13025    
.1000       -0.3000        0.28095E-05   -0.13453    
.1000       -0.2500        0.27568E-05   -0.13846    
.1000       -0.2000        0.27061E-05   -0.14200    
.1000       -0.1500        0.26574E-05   -0.14517    
.1000       -0.1000        0.26106E-05   -0.14795    
.1000       -0.5000E-01    0.25658E-05   -0.15031    
.1000         0.000        0.25230E-05   -0.15226    
.1000        0.5000E-01    0.24822E-05   -0.15376    
.1000        0.1000        0.24433E-05   -0.15480    
.1000        0.1500        0.24065E-05   -0.15535    
.1000        0.2000        0.23716E-05   -0.15538    
.1000        0.2500        0.23386E-05   -0.15488    
.1000        0.3000        0.23077E-05   -0.15381    
.1000        0.3500        0.22787E-05   -0.15213    
.1000        0.4000        0.22517E-05   -0.14981    
.1000        0.4500        0.22267E-05   -0.14680    
.1000        0.5000        0.22037E-05   -0.14306    
.1000        0.5500        0.21826E-05   -0.13852    
.1000        0.6000        0.21635E-05   -0.13312    
.1000        0.6500        0.21464E-05   -0.12675    
.1000        0.7000        0.21313E-05   -0.11928    
.1000        0.7500        0.21181E-05   -0.11054    
.1000        0.8000        0.21069E-05   -0.10023    
.1000        0.8500        0.20977E-05   -0.87878E-01
.1000        0.9000        0.20905E-05   -0.72547E-01
.1000        0.9500        0.20853E-05   -0.51799E-01
.1000         1.000        0.20820E-05     0.0000    
10.00        -1.000        0.37229E-03     0.0000    
10.00       -0.9500        0.36445E-03   -0.35593E-01
10.00       -0.9000        0.35679E-03   -0.50514E-01
10.00       -0.8500        0.34933E-03   -0.62058E-01
10.00       -0.8000        0.34206E-03   -0.71843E-01
10.00       -0.7500        0.33498E-03   -0.80488E-01
10.00       -0.7000        0.32810E-03   -0.88301E-01
10.00       -0.6500        0.32140E-03   -0.95458E-01
10.00       -0.6000        0.31490E-03   -0.10207    
10.00       -0.5500        0.30859E-03   -0.10821    
10.00       -0.5000        0.30248E-03   -0.11392    
10.00       -0.4500        0.29655E-03   -0.11923    
10.00       -0.4000        0.29082E-03   -0.12416    
10.00       -0.3500        0.28527E-03   -0.12873    
10.00       -0.3000        0.27993E-03   -0.13293    
10.00       -0.2500        0.27477E-03   -0.13677    
10.00       -0.2000        0.26980E-03   -0.14024    
10.00       -0.1500        0.26503E-03   -0.14334    
10.00       -0.1000        0.26045E-03   -0.14604    
10.00       -0.5000E-01    0.25606E-03   -0.14835    
10.00         0.000        0.25186E-03   -0.15023    
10.00        0.5000E-01    0.24785E-03   -0.15168    
10.00        0.1000        0.24404E-03   -0.15268    
10.00        0.1500        0.24042E-03   -0.15319    
10.00        0.2000        0.23699E-03   -0.15321    
10.00        0.2500        0.23375E-03   -0.15269    
10.00        0.3000        0.23071E-03   -0.15161    
10.00        0.3500        0.22786E-03   -0.14994    
10.00        0.4000        0.22519E-03   -0.14765    
10.00        0.4500        0.22272E-03   -0.14467    
10.00        0.5000        0.22045E-03   -0.14098    
